Departamentos;ventas_mañana;ventas_tarde;ventas_noche;ventas_totales;igv;transaccion_total;codigo_producto;membresia;tipo_atencion;tipo_clientes;cantidad_deboluciones
Lima;8210;2191;992;11393;2050.74;17;B787EX;SI;buena;indecisos;55
Lambayeque;9940;3129;2376;15445;2780.1;42;WGMIBB;SI;exepcional;indecisos;67
Apurimac;2686;1451;2965;7102;1278.36;44;SSYMSM;SI;exelente ;indecisos;68
La Libertad;5464;4945;4654;15063;2711.34;8;A8HIQY;SI;buena;leales ;66
Loreto;9366;2028;2201;13595;2447.1;47;WQQZMX;NO;exelente ;indecisos;59
Cuzco;7531;2414;7101;17046;3068.28;15;MQBIPZ;SI;deficiente;leales ;52
La Libertad;7964;1804;7854;17622;3171.96;16;PYHYQA;NO;exepcional;exigentes;23
Ayacucho;4448;2601;4699;11748;2114.64;26;EXESQH;SI;deficiente;indecisos;79
La Libertad;9224;4191;2369;15784;2841.12;14;HAQC3A;NO;deficiente;exigentes;26
Loreto;5664;3883;3241;12788;2301.84;34;WP7BQI;NO;exelente ;indecisos;74
Moquegua;7418;1910;6188;15516;2792.88;42;74PIB7;NO;estandar;indecisos;67
Cuzco;6299;2496;6923;15718;2829.24;13;BQGBAC;NO;exelente ;exigentes;75
Junin;3328;1840;6293;11461;2062.98;37;XWDMYP;SI;estandar;leales ;40
Piura;8727;4840;1579;15146;2726.28;46;PEWW8E;SI;exelente ;indecisos;27
Loreto;9432;3937;2349;15718;2829.24;13;ZW8XPQ;SI;exelente ;leales ;35
Ica;4748;4828;6756;16332;2939.76;13;8GYSXQ;NO;deficiente;indecisos;46
Lima;7916;1276;6537;15729;2831.22;21;P4BCPX;NO;deficiente;leales ;50
Lima;6942;3994;4279;15215;2738.7;44;Q77XA3;SI;buena;exigentes;20
Cajamarca;8485;3992;995;13472;2424.96;29;SSQISA;SI;deficiente;indecisos;54
Cajamarca;6838;3416;1299;11553;2079.54;42;ZBZMZB;SI;estandar;indecisos;70
Cuzco;7617;2803;5401;15821;2847.78;37;DEDAHH;SI;buena;exigentes;41
Ancash;4167;902;2833;7902;1422.36;39;4BIBHW;NO;exelente ;exigentes;25
